DATASET_TITLE,"Hospital Admissions: Summary Statistics, 2004/05",,,,,,FROM,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004
AREA_TYPE,Local Authority,,,,,,TO,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All Finished Admission Episodes,Coronary Heart Disease (CHD); Diagnosis,Cerebrovascular Disease (including Stroke); Diagnosis,Cancer (excluding non-melanoma skin cancer); Diagnosis,Falls (basic accidental falls); External cause,Coronary Artery Bypass Graft (CABG) and Percutaneous Transluminal Coronary Angioplasty (PTCA); Operation,Hip Replacement; Operation,Knee Replacement; Operation,Cataract; Operation
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,STATISTICAL_UNIT,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"F","West Midlands","41","Staffordshire","41UB","Cannock Chase",,,23553,1375,380,2550,451,102,105,94,382
"F","West Midlands","41","Staffordshire","41UC","East Staffordshire",,,22482,1014,313,2857,559,131,164,161,766
"F","West Midlands","41","Staffordshire","41UD","Lichfield",,,20772,1059,282,3466,543,124,149,132,561
"F","West Midlands","41","Staffordshire","41UE","Newcastle-under-Lyme",,,33284,2777,803,3816,365,256,137,105,513
"F","West Midlands","41","Staffordshire","41UF","South Staffordshire",,,22093,1452,459,3754,484,162,136,149,522
"F","West Midlands","41","Staffordshire","41UG","Stafford",,,33865,2245,536,4614,656,155,185,77,542
"F","West Midlands","41","Staffordshire","41UH","Staffordshire Moorlands",,,21909,1856,753,3120,300,171,121,78,380
"F","West Midlands","41","Staffordshire","41UK","Tamworth",,,16218,806,212,2698,348,74,81,83,442
"F","West Midlands","44","Warwickshire","44UB","North Warwickshire",,,12845,845,221,1332,283,93,101,93,298
"F","West Midlands","44","Warwickshire","44UC","Nuneaton and Bedworth",,,26916,1581,501,2190,596,156,201,196,416
"F","West Midlands","44","Warwickshire","44UD","Rugby",,,17335,1306,259,2248,486,74,117,149,67
"F","West Midlands","44","Warwickshire","44UE","Stratford-on-Avon",,,24021,1637,384,2775,720,146,205,131,814
"F","West Midlands","44","Warwickshire","44UF","Warwick",,,25838,1744,404,3301,898,147,137,144,863
"F","West Midlands","47","Worcestershire","47UB","Bromsgrove",,,16301,1293,307,1653,419,96,128,149,497
"F","West Midlands","47","Worcestershire","47UC","Malvern Hills",,,12769,913,262,2085,381,73,126,102,455
"F","West Midlands","47","Worcestershire","47UD","Redditch",,,17088,1389,274,1140,379,104,99,117,388
"F","West Midlands","47","Worcestershire","47UE","Worcester",,,16115,1079,287,2092,433,99,118,97,430
"F","West Midlands","47","Worcestershire","47UF","Wychavon",,,21851,1581,460,3264,558,112,185,140,778
"F","West Midlands","47","Worcestershire","47UG","Wyre Forest",,,17460,1213,271,1551,389,104,119,102,826
"G","East of England",,,"00JA","Peterborough",,,36058,3548,470,2731,1106,191,157,176,822
"G","East of England",,,"00KA","Luton",,,40460,2723,523,2110,734,207,145,193,801
"G","East of England",,,"00KF","Southend-on-Sea",,,38727,3223,642,4531,1354,164,207,180,1583
"G","East of England",,,"00KG","Thurrock",,,25389,1799,435,2939,665,156,111,132,140
"G","East of England","09","Bedfordshire","09UC","Mid Bedfordshire",,,21635,1963,279,1631,596,168,167,142,723
"G","East of England","09","Bedfordshire","09UD","Bedford",,,28095,2828,426,2037,788,187,131,141,1370
"G","East of England","09","Bedfordshire","09UE","South Bedfordshire",,,21745,1523,321,1663,549,114,126,130,557
"G","East of England","12","Cambridgeshire","12UB","Cambridge",,,20918,1714,250,2415,592,86,79,91,429
"G","East of England","12","Cambridgeshire","12UC","East Cambridgeshire",,,15030,1400,219,1952,387,114,98,73,514
"G","East of England","12","Cambridgeshire","12UD","Fenland",,,20785,2310,402,2417,558,121,128,109,793
"G","East of England","12","Cambridgeshire","12UE","Huntingdonshire",,,36182,2803,331,4470,577,257,163,152,973
"G","East of England","12","Cambridgeshire","12UG","South Cambridgeshire",,,27172,2401,315,4005,642,204,135,139,604
"G","East of England","22","Essex","22UB","Basildon",,,32090,2537,452,4242,804,221,173,177,359
"G","East of England","22","Essex","22UC","Braintree",,,22699,2041,426,1890,800,136,149,167,885
"G","East of England","22","Essex","22UD","Brentwood",,,12116,928,195,1130,372,63,77,49,472
"G","East of England","22","Essex","22UE","Castle Point",,,18226,1651,286,2367,581,123,123,115,817
"G","East of England","22","Essex","22UF","Chelmsford",,,27730,2394,454,2441,933,128,192,148,1067
"G","East of England","22","Essex","22UG","Colchester",,,27002,2010,474,2281,809,148,198,204,905
"G","East of England","22","Essex","22UH","Epping Forest",,,22893,1911,498,3380,906,141,141,147,730
"G","East of England","22","Essex","22UJ","Harlow",,,17448,1458,251,2370,544,122,109,117,605
"G","East of England","22","Essex","22UK","Maldon",,,10738,932,209,858,362,74,68,72,516
"G","East of England","22","Essex","22UL","Rochford",,,16894,1439,246,2230,517,87,131,107,796
"G","East of England","22","Essex","22UN","Tendring",,,28778,2754,674,2694,1057,198,251,262,1433
"G","East of England","22","Essex","22UQ","Uttlesford",,,12669,1030,250,1925,412,91,95,88,411
"G","East of England","26","Hertfordshire","26UB","Broxbourne",,,16735,1227,258,1685,433,129,103,93,637
"G","East of England","26","Hertfordshire","26UC","Dacorum",,,25373,1737,354,2518,790,208,165,179,875
"G","East of England","26","Hertfordshire","26UD","East Hertfordshire",,,21293,1600,326,2405,716,133,177,144,760
"G","East of England","26","Hertfordshire","26UE","Hertsmere",,,17526,1028,251,1328,498,122,102,104,537
"G","East of England","26","Hertfordshire","26UF","North Hertfordshire",,,22572,1740,275,1994,759,154,145,192,763
"G","East of England","26","Hertfordshire","26UG","St Albans",,,22635,1463,350,2184,702,142,147,129,508
"G","East of England","26","Hertfordshire","26UH","Stevenage",,,15713,1124,153,947,433,113,75,112,510
"G","East of England","26","Hertfordshire","26UJ","Three Rivers",,,14762,1001,223,962,407,102,70,89,387
"G","East of England","26","Hertfordshire","26UK","Watford",,,14925,1078,196,910,365,111,61,76,407
"G","East of England","26","Hertfordshire","26UL","Welwyn Hatfield",,,18077,1631,357,1334,588,119,138,123,719
"G","East of England","33","Norfolk","33UB","Breckland",,,28682,2606,489,4233,854,181,184,158,1299
"G","East of England","33","Norfolk","33UC","Broadland",,,26755,2318,595,4306,802,210,183,137,1164
"G","East of England","33","Norfolk","33UD","Great Yarmouth",,,21417,1923,466,2431,610,117,167,106,796
"G","East of England","33","Norfolk","33UE","King's Lynn and West Norfolk",,,33402,3638,656,4611,1020,152,219,159,1442
"G","East of England","33","Norfolk","33UF","North Norfolk",,,24127,2096,597,3816,776,190,183,107,1025
"G","East of England","33","Norfolk","33UG","Norwich",,,27622,2325,542,3624,884,155,127,83,1175
"G","East of England","33","Norfolk","33UH","South Norfolk",,,24926,1963,517,4335,693,174,175,131,1106
"G","East of England","42","Suffolk","42UB","Babergh",,,18751,1523,289,2889,542,115,127,112,666
"G","East of England","42","Suffolk","42UC","Forest Heath",,,11398,934,131,1369,275,71,74,46,501
"G","East of England","42","Suffolk","42UD","Ipswich",,,24965,2578,530,3306,835,141,158,113,848
"G","East of England","42","Suffolk","42UE","Mid Suffolk",,,17028,1460,336,2146,507,103,116,94,685
"G","East of England","42","Suffolk","42UF","St Edmundsbury",,,24882,1908,227,2987,596,141,106,99,780
"G","East of England","42","Suffolk","42UG","Suffolk Coastal",,,22730,2424,571,3461,803,138,201,132,825
"G","East of England","42","Suffolk","42UH","Waveney",,,24435,2227,551,2951,736,127,255,173,1156
"H","London",,,"00AA","City of London",,,1002,49,23,118,24,x,x,6,33
"H","London",,,"00AB","Barking and Dagenham",,,32626,2903,525,2575,923,266,119,144,1018
"H","London",,,"00AC","Barnet",,,56977,3109,889,4806,1455,361,215,268,2073
"H","London",,,"00AD","Bexley",,,46601,2676,688,5166,1358,332,218,279,1028
